State Name,District Name,Total Literacy Rate (%),Total Literacy Rate Urban (%),Total Literacy Rate Rural (%),Total Literacy Rate Male (%),Total Literacy Rate Male Urban (%),Total Literacy Rate Male Rural (%),Total Literacy Rate Female (%),Total Literacy Rate Urban Female (%),Total Literacy Rate Rural Female (%),Education (%),Medical (%),Post Office (%),Telephone (%),Transport Communications (%),Banks (%),Agricultural  Credit Societies (%),Approach by Pucca Road (%),Total Workers (%),Total Male Workers (%),Total Female Workers (%),Total Slum Population,Slum Population (%),Rural Population (%),Urban Population (%),Total good condition households (%),Total livable condition households (%),Total dilapidated condition households (%),Rural good condition households (%),Rural livable condition households (%),Rural dilapidated condition households (%),Urban good condition households (%),Urban livable condition households (%),Urban dilapidated condition households (%),Total Material of house roof is concrete (%),Rural Material of house roof is concrete (%),Urban Material of house roof is concrete (%),Total tapwater from treated source (%),Rural tapwater from treated source (%),Urban tapwater from treated source (%),Total Location of drinking water resource (%),Rural Location of drinking water resource (%),Urban Location of drinking water resource (%),Total Electricity as Lightning Source (%),Rural Electricity as Lightning Source (%),Urban Electricity as Lightning Source (%),Total Latrine facility within premises (%),Rural Latrine facility within premises (%),Urban Latrine facility within premises (%),Total Bathroom with roof within premises (%),Rural Bathroom with roof within premises (%),Urban Bathroom with roof within premises (%),Total Bathroom without roof within premises (%),Rural Bathroom without roof within premises (%),Urban Bathroom without roof within premises (%),Total waste water outlet connect to closed drainage (%),Rural waste water outlet connect to closed drainage (%),Urban waste water outlet connect to closed drainage (%),Total waste water outlet connect to open drainage (%),Rural waste water outlet connect to open drainage (%),Urban waste water outlet connect to open drainage (%),Total Fuel Used LPG+Biogas (%),Rural Fuel Used LPG+Biogas (%),Urban Fuel Used LPG+Biogas (%),Total cooking inside house (%),Rural cooking inside house (%),Urban cooking inside house (%),Total cooking outside house (%),Rural cooking outside house (%),Urban cooking outside house (%),Total no cooking (%),Rural no cooking (%),Urban no cooking (%),Total households availing banking services (%),Rural households availing banking services (%),Urban households availing banking services (%),Total households with no assets (%),Rural households with no assets (%),Urban households with no assets (%)
Andhra Pradesh,Kurnool,M,L,M,L,L,M,M,M,M,L,L,L,L,L,S,S,L,M,M,M,L,M,L,S,L,S,S,L,S,S,L,S,S,M,M,M,M,M,L,S,S,M,L,L,L,M,S,L,M,M,L,S,S,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Mahbubnagar,M,L,M,M,L,M,M,L,M,L,L,M,L,L,S,S,L,M,M,M,L,M,L,S,M,S,S,M,S,S,L,S,S,M,M,L,M,S,M,S,S,M,L,L,L,S,S,L,S,S,L,S,S,S,S,S,M,M,M,M,S,S,M,L,M,L,S,M,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Medak,M,L,M,L,L,L,M,L,M,L,M,M,L,L,S,S,L,M,M,M,L,M,L,S,M,S,S,M,M,S,L,S,S,S,S,M,M,M,L,M,M,M,L,L,L,M,S,L,M,M,L,S,S,S,S,S,M,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Nalgonda,M,L,M,L,L,L,M,L,M,L,L,M,L,L,S,S,L,M,M,M,L,M,L,S,M,S,S,M,M,S,L,S,S,M,M,M,S,S,M,M,M,M,L,L,L,M,S,L,M,S,L,S,S,S,S,S,S,M,S,M,S,S,M,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Nizamabad,M,L,M,L,L,L,M,L,M,L,L,M,L,L,S,S,L,M,M,M,L,M,L,S,M,S,S,M,S,S,L,S,S,M,S,M,M,M,M,M,M,M,L,L,L,M,S,L,M,S,L,S,M,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Prakasam,M,L,M,L,L,L,M,L,M,L,L,L,L,L,S,S,L,M,M,M,L,M,L,S,L,S,S,M,S,S,L,S,S,M,M,M,M,S,M,S,S,M,L,L,L,M,S,L,M,S,L,S,S,S,S,S,S,M,S,M,M,S,L,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Rangareddy,L,L,M,L,L,L,L,L,M,L,M,M,L,L,S,S,L,M,M,S,L,S,S,L,L,S,S,L,S,S,L,S,S,M,S,L,L,M,L,L,M,L,L,L,L,L,M,L,L,M,L,S,S,S,L,S,L,S,M,S,M,S,L,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Sri Potti Sriramulu Nellore,L,L,M,L,L,L,M,L,M,L,L,M,L,L,S,S,L,M,M,S,L,S,L,S,M,S,S,M,S,S,L,S,S,M,M,L,S,S,M,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,M,S
Andhra Pradesh,Srikakulam,M,L,M,L,L,L,M,L,M,L,L,S,L,M,S,S,L,M,M,M,L,M,L,S,L,S,S,L,S,S,L,S,S,M,M,M,M,M,M,M,M,M,L,L,L,M,S,L,M,S,L,S,S,S,S,S,S,S,S,M,S,S,M,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Visakhapatnam,L,L,M,L,L,M,M,L,M,L,L,S,M,S,S,S,S,M,M,S,L,M,M,M,L,S,S,L,S,S,L,S,S,M,M,L,M,S,M,M,S,M,L,L,L,M,S,L,M,S,L,S,S,S,S,S,M,M,S,M,M,S,L,L,M,L,S,M,S,S,S,S,M,M,M,S,M,S
Andhra Pradesh,Vizianagaram,M,L,M,L,L,M,M,L,M,L,M,S,L,M,S,S,M,M,M,M,L,M,L,S,L,S,S,M,S,S,L,S,S,M,M,L,M,S,L,S,S,M,L,L,L,S,S,M,S,S,L,S,S,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,M,S
Andhra Pradesh,Warangal,M,L,M,L,L,L,M,L,M,L,L,L,L,L,S,S,L,M,M,M,L,M,L,S,M,M,S,M,M,S,L,S,S,M,S,M,M,S,M,M,M,L,L,L,L,M,S,L,M,S,L,S,S,S,S,S,S,S,S,M,S,S,M,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,West Godavari,L,L,L,L,L,L,L,L,L,L,L,M,L,L,S,S,L,M,M,S,L,M,L,S,L,S,S,M,S,S,L,S,S,M,M,M,L,L,L,M,M,L,L,L,L,M,M,L,M,M,L,S,S,S,S,S,S,M,M,M,M,M,L,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Andhra Pradesh,Y.S.R,L,L,M,L,L,L,M,L,M,L,M,M,L,L,S,S,L,M,M,M,L,M,M,M,L,S,S,L,S,S,L,S,S,M,M,M,M,M,L,M,S,M,L,L,L,M,S,L,M,M,L,S,M,S,S,S,M,S,S,M,S,S,M,L,M,L,S,M,S,S,S,S,M,M,M,S,S,S
Arunachal Pradesh,Anjaw,M,L,M,L,L,M,M,L,M,S,S,S,S,S,S,S,S,M,M,M,S,S,L,S,M,M,S,M,M,S,S,L,S,S,S,S,S,S,M,S,S,M,M,M,L,S,S,M,S,S,M,S,S,S,S,S,M,S,S,S,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,M,M,S
Arunachal Pradesh,Changlang,M,L,M,L,L,M,M,L,M,L,S,S,L,S,S,S,M,M,M,S,S,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,M,M,M,M,M,L,L,M,L,S,S,L,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,S,S,L,S,S,S
Arunachal Pradesh,Dibang Valley,M,L,M,L,L,M,M,L,M,S,S,S,S,S,S,S,L,M,M,M,S,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,M,M,L,M,M,L,L,M,L,S,S,M,S,S,S,S,S,S,M,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,M,M,S
Arunachal Pradesh,East Kameng,M,L,M,L,L,M,M,L,M,M,S,S,S,S,S,S,S,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,M,S,M,S,S,M,M,S,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,S,L,M,L,S
Arunachal Pradesh,East Siang,L,L,L,L,L,L,M,L,M,L,M,S,M,M,S,S,S,M,M,M,L,S,L,S,M,M,S,L,S,S,M,M,S,S,S,S,S,S,S,M,S,M,L,M,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Arunachal Pradesh,Kurung Kumey,M,L,M,M,L,M,M,M,M,M,S,S,S,S,S,S,S,M,M,M,S,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,M,S,S,S,S,S,L,S,S,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,S,L,L,L,S,S,S,S,S,S,S,S,L,M,M,S
Arunachal Pradesh,Lohit,L,L,M,L,L,L,M,L,M,L,S,S,L,S,S,S,M,M,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,M,M,L,M,M,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,S,L,S,S,S
Arunachal Pradesh,Lower Dibang Valley,L,L,M,L,L,L,M,L,M,M,S,S,L,S,S,S,M,M,M,S,S,S,L,S,M,M,S,M,M,S,M,S,S,S,S,S,S,S,S,M,M,L,M,M,L,M,M,L,S,S,L,S,S,S,S,S,S,S,S,L,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Arunachal Pradesh,Lower Subansiri,L,L,L,L,L,L,L,L,M,M,S,S,M,S,S,S,S,M,M,S,S,S,L,S,M,M,S,M,M,S,L,S,S,S,S,S,S,S,M,M,M,L,L,L,L,L,L,L,M,S,L,S,S,S,S,S,S,M,M,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Arunachal Pradesh,Papum Pare,L,L,L,L,L,L,L,L,L,L,S,S,M,S,S,S,S,M,M,S,S,S,M,M,M,M,S,M,M,S,M,S,S,S,S,S,M,S,L,M,M,L,L,L,L,L,M,L,M,S,L,S,S,S,S,S,S,M,S,M,L,M,L,L,L,L,S,S,S,S,S,S,L,M,L,S,S,S
Arunachal Pradesh,Tawang,M,L,M,L,L,M,M,L,M,M,S,S,M,S,S,S,S,M,L,M,S,S,L,S,M,M,S,M,M,S,L,S,S,S,S,S,M,M,L,M,S,L,L,L,L,L,L,L,S,S,L,S,S,S,S,S,S,M,S,L,M,S,L,L,L,L,S,S,S,S,S,S,L,L,L,M,M,S
Arunachal Pradesh,Tirap,M,L,M,M,L,M,M,L,M,L,S,S,M,S,S,S,M,M,M,M,S,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,S,S,M,L,L,L,L,L,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,L,M,L,M,M,S
Arunachal Pradesh,Upper Siang,M,L,M,M,L,M,M,L,M,L,S,S,M,S,S,S,S,M,M,M,S,S,L,S,M,S,S,L,S,S,M,M,S,S,S,S,M,M,M,M,S,L,L,L,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,M,M,S
Arunachal Pradesh,Upper Subansiri,M,L,M,L,L,L,M,L,M,M,S,S,S,S,S,S,S,M,M,M,S,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,L,S,S,L,M,S,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,M,M,S
Arunachal Pradesh,West Kameng,L,L,M,L,L,L,M,L,M,M,S,S,M,S,S,S,S,M,M,M,S,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,M,M,L,M,M,M,L,L,L,M,M,L,M,S,L,S,S,S,S,S,S,S,S,L,M,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,M,S
Arunachal Pradesh,West Siang,M,L,M,L,L,L,M,L,M,L,S,S,M,S,S,S,S,M,M,M,L,S,L,S,M,M,S,M,M,S,L,S,S,S,S,S,S,S,S,M,M,L,L,M,L,L,L,L,S,S,L,S,S,S,S,S,S,M,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,M,S
Assam,Baksa,L,L,L,L,L,L,M,L,M,L,L,S,L,M,S,S,S,M,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,M,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,S,S,S,S,S,S,M,S,M,S,S,S
Assam,Barpeta,M,L,M,L,L,L,M,L,M,L,L,S,L,L,S,S,M,S,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,L,L,L,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,M,M,L,S,S,S
Assam,Bongaigaon,L,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,S,M,M,S,L,S,L,S,S,M,S,S,M,S,L,S,S,S,S,S,S,S,S,L,M,L,S,S,L,M,M,L,S,S,L,S,S,S,S,S,S,S,S,M,S,S,L,M,M,L,M,M,S,S,S,S,M,M,L,S,S,S
Assam,Cachar,L,L,L,L,L,L,L,L,L,L,L,S,L,M,S,S,S,M,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,S,M,S,M,S,S,M,M,S,L,L,L,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,M,M,S
Assam,Chirang,M,L,M,L,L,L,M,L,M,L,M,S,M,M,S,S,S,M,M,S,L,M,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,M,S,S,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Assam,Darrang,M,L,M,L,L,M,M,L,M,L,L,S,L,L,S,S,M,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Assam,Dhemaji,L,L,L,L,L,L,M,L,M,L,M,S,M,M,S,S,S,M,M,M,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,S,S,S,S,M,S,L,S,S,S
Assam,Dhubri,M,L,M,M,L,M,M,L,M,L,L,S,L,L,S,S,S,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,S,S,M,M,M,S
Assam,Dibrugarh,L,L,L,L,L,L,L,L,M,L,M,S,L,M,S,S,S,M,M,S,L,S,L,S,M,M,S,M,M,S,M,S,S,S,S,S,S,S,S,L,M,L,M,M,L,L,L,L,M,S,L,S,M,S,S,S,S,M,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Dima Hasao,L,L,L,L,L,L,L,L,M,L,S,S,M,M,S,S,S,M,M,S,S,S,L,S,M,M,S,S,M,S,M,M,S,S,S,S,S,S,M,S,S,M,M,S,L,L,M,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,M,M,S
Assam,Goalpara,L,L,M,L,L,L,M,L,M,L,M,S,L,L,S,S,S,M,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,M,M,M,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,S,S,M,S,S,S
Assam,Golaghat,L,L,L,L,L,L,L,L,L,L,M,S,L,M,S,S,S,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,M,S,L,L,M,L,S,S,L,S,S,S,S,S,S,S,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Hailakandi,L,L,L,L,L,L,L,L,M,L,L,S,L,L,S,S,M,S,M,S,L,S,L,S,S,M,S,S,M,S,M,S,S,S,S,S,S,S,M,S,S,M,S,S,L,L,L,L,S,S,L,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,L,L,L,M,M,S
Assam,Jorhat,L,L,L,L,L,L,L,L,L,L,M,S,L,L,S,S,S,M,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,S,S,S,M,M,M,L,M,M,L,L,M,L,M,S,L,S,S,S,S,S,S,S,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Kamrup,L,L,L,L,L,L,L,L,L,L,M,S,L,L,S,S,S,M,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,M,M,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,L,M,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Kamrup Metropolitan,L,L,L,L,L,L,L,L,L,L,M,S,L,M,S,S,S,M,M,S,L,S,S,L,M,S,S,M,M,S,L,S,S,S,S,S,S,S,S,L,M,L,L,M,L,L,M,L,L,S,L,S,S,S,S,S,S,M,S,M,L,S,L,L,L,L,S,S,S,S,S,S,L,M,L,S,S,S
Assam,Karbi Anglong,L,L,L,L,L,L,M,L,M,M,S,S,M,M,S,S,S,M,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,S,M,S,S,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Karimganj,L,L,L,L,L,L,L,L,L,L,L,S,L,M,S,S,S,S,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,M,S,S,M,S,S,L,L,L,L,S,S,L,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,M,M,S
Assam,Kokrajhar,M,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,S,M,M,S,S,S,L,S,M,M,S,S,M,S,L,S,S,S,S,S,S,S,S,M,M,L,S,S,L,S,S,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,M,S,L,S,S,S
Assam,Lakhimpur,L,L,L,L,L,L,L,L,L,L,M,S,L,M,S,S,S,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,L,M,M,L,S,S,L,S,S,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Morigaon,L,L,M,L,L,L,M,L,M,L,M,S,M,M,S,S,S,M,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,L,L,L,S,S,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Nagaon,L,L,L,L,L,L,L,L,M,L,L,S,L,M,S,S,M,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,M,S,L,L,L,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,M,L,S,M,S,S,S,S,M,S,L,S,S,S
Assam,Nalbari,L,L,L,L,L,L,L,L,L,L,L,S,L,L,S,S,S,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,L,L,L,M,M,L,L,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Sivasagar,L,L,L,L,L,L,L,L,L,L,M,S,L,L,S,S,S,M,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,M,M,M,L,M,M,L,L,L,L,M,M,L,S,S,S,S,S,S,S,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Sonitpur,L,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,S,M,M,S,L,S,L,S,M,M,S,S,M,S,M,S,S,S,S,S,S,S,S,M,M,L,M,S,L,M,M,L,S,S,L,S,S,S,S,S,S,S,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Tinsukia,L,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,S,M,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,M,M,L,M,M,L,L,L,L,S,S,L,S,M,S,S,S,S,S,S,M,S,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Assam,Udalguri,M,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,S,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,L,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,M,M,L,S,S,S
